Area,Floors,Bedrooms,Bathrooms,Price,Legal status_Sale contract,City_Bình Dương,City_Bình Thuận,City_Bắc Ninh,City_Cần Thơ,City_Hà Nội,City_Hưng Yên,City_Hải Phòng,City_Hồ Chí Minh,City_Khánh Hòa,City_Kiên Giang,City_Long An,City_Lâm Đồng,City_Other,City_Quảng Ninh,City_Thanh Hóa,City_Đà Nẵng,City_Đắk Lắk,City_Đồng Nai
40.0,4.0,3.0,4.0,7.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
113.0,3.0,3.0,3.0,6.2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
69.1,3.0,3.0,4.0,10.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
100.0,3.0,5.0,3.0,8.1,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
30.0,3.0,3.0,3.0,7.15,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
85.0,3.0,4.0,4.0,5.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54.0,3.0,3.0,3.0,8.15,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
52.7,5.0,6.0,3.0,7.6,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
73.0,4.0,4.0,4.0,9.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
80.0,3.0,3.0,3.0,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
120.0,2.0,3.0,3.0,3.1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82.5,4.0,4.0,3.0,5.71,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
52.0,4.0,4.0,4.0,6.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45.0,4.0,4.0,4.0,7.65,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
120.0,3.0,4.0,3.0,8.4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64.0,3.0,4.0,3.0,4.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
50.0,5.0,7.0,6.0,8.9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36.0,5.0,3.0,4.0,5.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
88.0,4.0,3.0,3.0,6.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
99.4,2.0,3.0,2.0,9.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
33.0,5.0,3.0,3.0,4.95,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
100.0,3.0,3.0,3.0,7.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
34.0,4.0,3.0,3.0,2.9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
100.0,3.0,4.0,5.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
60.0,4.0,5.0,5.0,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
85.0,4.0,4.0,6.0,4.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74.02,3.0,3.0,3.0,2.38,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
62.5,5.0,3.0,3.0,7.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
87.0,5.0,5.0,5.0,10.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56.0,3.0,3.0,3.0,2.7,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
90.0,3.0,3.0,3.0,5.5,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
58.0,3.0,3.0,3.0,4.61,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35.0,5.0,5.0,4.0,6.85,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
50.4,3.0,4.0,4.0,3.75,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
54.0,3.0,4.0,4.0,4.3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
57.4,3.0,3.0,2.0,4.05,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
56.0,5.0,6.0,5.0,6.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
51.75,4.0,4.0,5.0,9.2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
27.0,5.0,4.0,5.0,7.65,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
115.0,3.0,3.0,3.0,9.55,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
81.0,5.0,3.0,3.0,9.9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
102.8,2.0,4.0,4.0,5.6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48.0,3.0,3.0,3.0,5.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55.0,3.0,3.0,3.0,6.8,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
56.25,3.0,4.0,3.0,4.29,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
65.0,2.0,3.0,3.0,4.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
80.0,5.0,5.0,6.0,6.5,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
60.0,3.0,3.0,3.0,7.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
33.0,5.0,3.0,4.0,4.48,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
38.0,4.0,3.0,4.0,6.78,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
42.0,3.0,2.0,3.0,6.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
60.0,3.0,3.0,3.0,7.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
30.0,6.0,4.0,5.0,5.65,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
78.0,5.0,3.0,3.0,9.8,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
43.5,4.0,3.0,4.0,6.2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23.9,2.0,2.0,2.0,4.2,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
78.7,3.0,3.0,3.0,5.5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
67.5,3.0,3.0,3.0,2.18,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72.0,2.0,4.0,4.0,6.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
60.0,4.0,4.0,3.0,2.65,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
